date,Humidity,Intraday_max,Intraday_mean,Intraday_min,Precipitation,Soil_max,Soil_mean,Soil_min,20cm,40cm,80cm,160cm,320cm
2018-06-01,,,4.0875,,0,,,,,,,,
2018-06-02,,,4.975,,0.4,,,,,,,,
2018-06-03,,,6.45,,0.5,,,,,,,,
2018-06-04,,,7.9875,,7,,,,,,,,
2018-06-05,,,10.575,,5,,,,,,,,
2018-06-06,,,7.25,,0,,,,,,,,
2018-06-07,,,7.5,,0.7,,,,,,,,
2018-06-08,,,6.6625,,4,,,,,,,,
2018-06-09,,,7.85,,18,,,,,,,,
2018-06-10,,,7.4125,,0,,,,,,,,
2018-06-11,,,7.6,,0,,,,,,,,
2018-06-12,,,8.625,,0.3,,,,,,,,
2018-06-13,,,12.2875,,28,,,,,,,,
2018-06-14,,,7.925,,0.6,,,,,,,,
2018-06-15,,,8.6875,,0,,,,,,,,
2018-06-16,,,12.9625,,0,,,,,,,,
2018-06-17,,,15.9375,,0,,,,,,,,
2018-06-18,,,18.2125,,0,,,,,,,,
2018-06-19,,,18.7625,,0,,,,,,,,
2018-06-20,,,16.9625,,2,,,,,,,,
2018-06-21,,,12.5375,,5.4,,,,,,,,
2018-06-22,,,17.775,,0,,,,,,,,
2018-06-23,,,18.45,,0,,,,,,,,
2018-06-24,,,23.2375,,0,,,,,,,,
2018-06-25,,,25.05,,0,,,,,,,,
2018-06-26,,,25.825,,0,,,,,,,,
2018-06-27,,,23.2375,,0,,,,,,,,
2018-06-28,,,20.0125,,4,,,,,,,,
2018-06-29,,,17.7625,,0,,,,,,,,
2018-06-30,,,20.85,,0,,,,,,,,
2018-07-01,,,18.1,,0,,,,,,,,
2018-07-02,,,11.8125,,3,,,,,,,,
2018-07-03,,,18.9,,0.3,,,,,,,,
2018-07-04,,,20.2125,,2,,,,,,,,
2018-07-05,,,20.2375,,13,,,,,,,,
2018-07-06,,,19.1875,,7.7,,,,,,,,
2018-07-07,,,19.075,,0,,,,,,,,
2018-07-08,,,19.65,,3,,,,,,,,
2018-07-09,,,16.3625,,17,,,,,,,,
2018-07-10,,,18.325,,0.9,,,,,,,,
2018-07-11,,,16.8625,,0.3,,,,,,,,
2018-07-12,,,21.275,,0.7,,,,,,,,
2018-07-13,,,20.7,,0,,,,,,,,
2018-07-14,,,20.2375,,0,,,,,,,,
2018-07-15,,,20.475,,38,,,,,,,,
2018-07-16,,,21.65,,0.8,,,,,,,,
2018-07-17,,,22.0875,,0,,,,,,,,
2018-07-18,,,20.675,,0,,,,,,,,
2018-07-19,,,20.225,,0,,,,,,,,
2018-07-20,,,22.4,,0,,,,,,,,
2018-07-21,,,21.4125,,0,,,,,,,,
2018-07-22,,,19.6375,,0,,,,,,,,
2018-07-23,,,19.55,,0,,,,,,,,
2018-07-24,,,20.325,,0,,,,,,,,
2018-07-25,,,19.7625,,0,,,,,,,,
2018-07-26,,,22.1875,,0,,,,,,,,
2018-07-27,,,23.0125,,0,,,,,,,,
2018-07-28,,,16.4875,,0,,,,,,,,
2018-07-29,,,14.55,,0,,,,,,,,
2018-07-30,,,16.625,,0,,,,,,,,
2018-07-31,,,19.875,,0,,,,,,,,
2018-08-01,,,19.7125,,0,,,,,,,,
2018-08-02,,,21.0125,,0,,,,,,,,
2018-08-03,,,16.0375,,0.7,,,,,,,,
2018-08-04,,,11.1375,,0,,,,,,,,
2018-08-05,,,13.5,,0,,,,,,,,
2018-08-06,,,15.825,,10.5,,,,,,,,
2018-08-07,,,14.9375,,5,,,,,,,,
2018-08-08,,,12.3,,0,,,,,,,,
2018-08-09,,,13.95,,0,,,,,,,,
2018-08-10,,,17.575,,0,,,,,,,,
2018-08-11,,,16.4875,,0,,,,,,,,
2018-08-12,,,19.475,,11,,,,,,,,
2018-08-13,,,18.7,,0.3,,,,,,,,
2018-08-14,,,14.6375,,4,,,,,,,,
2018-08-15,,,13.95,,3,,,,,,,,
2018-08-16,,,12.3375,,0,,,,,,,,
2018-08-17,,,11.1375,,0,,,,,,,,
2018-08-18,,,11.4625,,0,,,,,,,,
2018-08-19,,,15.8,,0,,,,,,,,
2018-08-20,,,14.3125,,6,,,,,,,,
2018-08-21,,,16.475,,0,,,,,,,,
2018-08-22,,,14.5125,,3.4,,,,,,,,
2018-08-23,,,8.9375,,2,,,,,,,,
2018-08-24,,,8.525,,1,,,,,,,,
2018-08-25,,,11.7625,,0,,,,,,,,
2018-08-26,,,12.0125,,0,,,,,,,,
2018-08-27,,,15.525,,0,,,,,,,,
2018-08-28,,,18.4125,,0,,,,,,,,
2018-08-29,,,15.8625,,5,,,,,,,,
2018-08-30,,,12.6125,,0,,,,,,,,
2018-08-31,,,10.55,,0,,,,,,,,
2018-09-01,,,11.525,,0,,,,,,,,
2018-09-02,,,10.25,,0,,,,,,,,
2018-09-03,,,10.3,,0,,,,,,,,
2018-09-04,,,11.2375,,0,,,,,,,,
2018-09-05,,,11.85,,0,,,,,,,,
2018-09-06,,,11.775,,0,,,,,,,,
2018-09-07,,,13.05,,0,,,,,,,,
2018-09-08,,,12.9,,1,,,,,,,,
2018-09-09,,,7.975,,0,,,,,,,,
2018-09-10,,,7.15,,0,,,,,,,,
2018-09-11,,,10.7125,,0,,,,,,,,
2018-09-12,,,9.05,,0.3,,,,,,,,
2018-09-13,,,12.0625,,11,,,,,,,,
2018-09-14,,,10.7375,,12,,,,,,,,
2018-09-15,,,11,,5,,,,,,,,
2018-09-16,,,10.6625,,0,,,,,,,,
2018-09-17,,,11.175,,8,,,,,,,,
2018-09-18,,,7.5,,0,,,,,,,,
2018-09-19,,,8.7875,,0.4,,,,,,,,
2018-09-20,,,5.7875,,0,,,,,,,,
